											2	3	4	6	7	10	11	13	16	17	18	19	20	21	22	24	25	26	28	29	30	31	33	34	35	36	37	38	39	40	41	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	61	63	66	68	69	70	74	76	80	82	86	101	102	103	104	105	106	107	108	109	110	111	112	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	131	132	133	134	135	136	139	140	141	143	144	145	146	147	148	151		291	292	294	301	303	307	310	329	345	351	372	373	375	377	378	381	382	386	389	397		263	264	267	268	269	270	271	272	274	275	277	279	252	259	260	261	262		241	242	243	244		221	222	223	224	225	226	227	228		42	71	206	81	88		401	402	404	406	408	409	412	417	418	419	420	426	428	429	410	411	413	414	415	422	425	430	434	438	439	441	443	445		451	452	454	455	456	457	459	471	464	466	469	470	472	473								
コード	納品日		便	P品番	商品名	伝票原価	伝票売価	値入	売価	単位	光の森	学園	ゆめタウン呉	サンモール	大川	中津	夢彩都	安古市	倉敷	大牟田	南岩国	平島	蔵王	サンピアン	柳井	高梁	東広島	黒瀬	井原	江田島	八代	吉田	久世	長府	新南陽	山陽	浜田	益田	斐川	高松	行橋	川尻	武雄	YM浜田	美作	八本松	防府	邑久	遠賀	筑紫野	宇部	丹波	山口	大竹	博多	八女	赤間	神西	八木	府中	八幡	久留米	己斐	はません	尾道	沼田	シティモール	佐賀	別府	広島	出雲	三豊	丸亀	みゆき	ゆめシティ	うきは	津山	徳島	小倉東	下関駅	新宮	西栄	田崎	玉名	阿賀	二葉の里	下関	松橋	大江	柳川	廿日市	YMさが	筑後	徳山	ＬＥＣＴ	南行橋	江津	福津	姫路	下松	福山	城野	南小野田	日田	青山	西条	飯塚	新大村	祇園	YM五日市		城山	清水	水前寺駅	武蔵ケ丘	龍田	帯山	新町熊本	多良木	山鹿	鏡	九品寺	近見	島崎	宇土	新外	八代高田	合志	東山鹿	人吉	菊陽		若園	東折尾	津屋崎	Ｄ行橋	大刀洗	Ｄ中津	幡生	田川大任	香月西	宇佐	豊前	筥松	永犬丸	本城	上津	花瀬	稲築		トマト	アップル	オレンジ	メロン		美馬	小松島	ウィンズ	池田	津田	脇町	田宮	羽ノ浦		岩国	大町	三次東	可部	柳井西		東海田	瀬野川	天満	古江	宮内	戸坂	三筋	白木	大野	楠木	三越	庚午	高陽	十日市	福田	光町	大崎	Ｙ吉田	中筋	アッセ	Ｙ府中	本浦	本通	ekie	さんすて	幟町	東本浦	ミナモア		小倉	飯塚	曽根	東門司	門司本店	朽網	恒見	Ｙ直方	川棚	板持	豊田	新下関	南仙崎	東萩		総計	8350330	実績	消化率			
	2025/06/09	月	１便		ノルウェー産　ミンククジラ（解凍）	5250	9950	0.4723618090452261	ｇ398	C2.5ｋｇ																																																																																																																																																																																																													0	0					
	2025/06/10	火			※とろ鯨と間違えないように		9950			不定貫			1					1																																																				1																																							1																					1																																																																																					5	49750					
	2025/06/11	水			事前確定		9950			1の倍数																																																																																																																																																																																																													0	0					
	2025/06/12	木					9950						1																																																									1							1																		1																																																																																																																								4	39800					
	2025/06/13	金					9950																																													1								1																																					1																																																																																																																						3	29850					
	2025/06/14	土					9950					1	1			1		1					1		1	1							1				1					1	1	1	1		1			1				1														1		1		1		1		1		1				1			1						1				1											1			1																			1		1																																																																																					30	298500					
ニシショウ	2025/06/15	日					9950																																													1																																																																																																																																																																			1	9950			43		427850
	2025/06/09	月	1便		ノルウェー産生サーモントラウト（養殖）	19521.6	27888	0.30000000000000004	ｇ498	C＝約5.6ｋｇ																																																																																																																																																																																																													0	0					
	2025/06/10	火			ｋ3486　ｋ4980		27888			4枚入（５枚）																																																																																																																																																																																																													0	0					
	2025/06/11	水			6/12から6/15テントク		27888			不定貫																																																																																																																																																																																																													0	0					
	2025/06/12	木			商品化手順の徹底		27888			1の倍数	2	1	2		1	1	2	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1		1	1	1	2	1		1	1	1	2	1	1		1	1	1	1		1			1	1	1	3	1	1	1	1	1	1		2	1		1	0	1	1	1	1	2		1	1	2	1	1	1	4	1	1		3	1	1	1				1	1	1	1	1		1	1	1		1	1		1	1	1	1		1	1	1	1	1	1	1	1																																																																																				115	3207120					
	2025/06/13	金			※発注曜日注意！		27888				2		2		1	1	2										1	1		1		1					1		1	2					1				1	1		1			1							1						1		3					1			1				1				1	2		1		2			2	4				5	1	2					1			3																					1																												1	1																																																								56	1561728					
	2025/06/14	土					27888				4	1	4		1	1	4	1	1	1	1			1	1	1	2	2		1	1	1	1	1	2		1	1	3	3	1		2	1		1	1		2	3		1	1	1	2		1					2		1			1	3	1	10	3	1	2	1	2		1	3	1		1	0				1	5		1		5	1	1	3	12	1	1		8	2	2			1	1	1	1	1	2	1		1	1			1									1			2	2	1	1																																																																																				152	4238976					
中村角	2025/06/15	日					27888				2	1	3			2	3	1					1			1	2	2	1		1		1	1	1		1		2	2	1		1			1	1		1	2		1		1	5	1	1				1	1		1			1	2	1	5	2	1	1	1	2	1		3	1		1	0	1			1	4		1	1	4			2	6		1		5	3	1	1						1	2	1		1									1				1		1	2	2	2																																																																																					114	3179232			437		12187056
	2025/06/09	月	1便		本まぐろ赤身切落し原料（血合い付き）	12500	21000	0.40476190476190477	100ｇ880円	C=5kg							3																																																																																																																																																																																																						3	63000					
	2025/06/10	火			ｋ2500　ｋ4200		21000		超特売！！	1の倍数																																																																																																																																																																																																													0	0					
	2025/06/11	水			6/12から6/15広告		21000																																																																																																																																																																																																																0	0					
	2025/06/12	木			本まぐろ切落しに使用（歩留まり75％）		21000				1	1	1				1	1	1	1	1		1	1	1	1	1	1	1	1		1		1	1		1	1		1	1			1		1	1	1	1	2			1	1	1	1	在庫有	1						1			1	1	1		1	1	1	1	1	1	1	1	1		在庫	1	1	1		1			1				1	1	1						1	1		1	1	1	1	1	1	1																																																																																																									65	1365000					
	2025/06/13	金			※大トロはCOBで		21000				1						1																																															1																																													1																																																		1																																																								5	105000					
	2025/06/14	土					21000				1	1	1		1	1	2			1					1			1									1			2	1					1	1						1	1	2							2		1				1	1	2			1	1	1			1											1		1	1		1	1		1		1	1								1	1																																																																																																										41	861000					
クラハシ	2025/06/15	日					21000				2						2	1																						1															1									1				1	1																	1					1				1														1																																																																																																										14	294000			128		2688000
	2025/06/09	月	2便		生食用湯引きうに	595	980	0.39285714285714285	35ｇ980円	C=6入																																																																																																																																																																																																													0	0					
	2025/06/10	火			父の日に仕掛ける		980			6の倍数																																																																																																																																																																																																													0	0					
	2025/06/11	水			数量を上げる！！		980																				6	6										6						1					6																													6							6																6																																																																																																																		43	42140					
	2025/06/12	木					980													6																																									6														6																12				12																																																																																																																								42	41160					
	2025/06/13	金					980				6	6			6		12						6	6			6	6		6				3	6				6	12	6			1					6			6															6		6			6	6		6						6											6	6	6	12		6		6	6	12					12										6												6		6																																									6	6			6	6							6								6						6																		274	268520					
	2025/06/14	土					980									6		6	6	6	6				6			6		6	6		6				6	6									6						6	6	12	6						6		6				6		6	6			6		6	6	12						6							12			6	12		6		6	6														6																																																																																																					228	223440					
ヤマエ久野	2025/06/15	日					980																																																																6																																																																																																																																																6	5880			593		581140
	2025/06/09	月	2便		アメリカ産　味付けいくら醤油味	4063.5	7900	0.48563291139240505	ｇ1580	B＝500ｇ																																																																																																																																																																																																													0	0					
	2025/06/10	火			原価：ｋ8127　売価：ｋ15800		7900			1の倍数																																																																																																																																																																																																													0	0					
	2025/06/11	水					7900				2		2			1	2	1		1							1	2		1		1	1		1		1															1				1																																			2						2		5										10																																																																																																										38	300200					
	2025/06/12	木					7900																											1			1																																							1	1																																																					2																																																																																					6	47400					
	2025/06/13	金			※注意　2便納品です		7900				2		6			1	4	1		1						2	1	2		1					2		2	1	1	1	1		4						2	2		2			2			2						1			2		2	2	3				1						2		2	2							3	1	1	2	3		2			2	2					2																						2	1	2																																																																																					83	655700					
	2025/06/14	土					7900									2				2							1	1			2			1			2		1																									1										2																	3				2					2	2																								3			2	1	2																																																																																					32	252800					
日本アクセス	2025/06/15	日					7900																																																																																				2		1																																																																																																																										3	23700			162		1279800
	2025/06/09	月	1便		とらふぐ薄造り　19㎝	828	1380	0.4	23ｇ1380円	C=3入																																																																																																			10																																																																																																										10	296000					
	2025/06/10	火			父の日の売込み		1380			3の倍数																																																																																																																																																																																																													0	0					
	2025/06/11	水			D+2		1380																																																																																																																																																																																																																0	0					
	2025/06/12	木					1380																																																																																																																																																																																																																0	0					
	2025/06/13	金					1380												3		3				3																																																																																																																																																																																														9	266400					
	2025/06/14	土					1380				6	6			3	3	9	3		3			3				6	6		3			3		6		3			3	3	3	3				6		3	3		3		3	3	3								3						3		6	3			1		3			3	3					3				3	1		3	3		3			3	12																								1			1		1																																									6	6	3		6	9	3	3		6			6	3			3		3		6		3	3		3	6	6																	242	7163200					
竹添BY	2025/06/15	日					1380													3																																6																3						3		1											3				6	2		3	3					6								3																																																																																																											42	1243200			303		418140
	2025/06/09	月	1便			2280	3980	0.4271356783919598	ｇ398	B=1kｇ																																																																																																																																																																																																													0	0					
	2025/06/10	火					3980			1の倍数																																																																																																																																																																																																													0	0					
	2025/06/11	水					3980																																																																																																																																																																																																																0	0					
	2025/06/12	木					3980																																																																																																																																																																																																																0	0					
	2025/06/13	金					3980																																																																																																																																																																																																																0	0					
	2025/06/14	土					3980																																																																																																																																																																																																																0	0					
クラハシ	2025/06/15	日					3980																																																																																																																																																																																																																0	0			0		0
	2025/06/09	月	2便			1265	2300	0.45	1枚498	１シート5枚入り																																																																																																																																																																																																													0	0					
	2025/06/10	火					2300			ばら納品																																																																																																																																																																																																													0	0					
	2025/06/11	水					2300			1の倍数																																																																																																																																																																																																													0	0					
	2025/06/12	木					2300																																																																																																																																																																																																																0	0					
	2025/06/13	金					2300																																																																																																																																																																																																																0	0					
	2025/06/14	土					2300																																																																																																																																																																																																																0	0					
ニシショウ	2025/06/15	日					2300																																																																																																																																																																																																																0	0			0		0
	2025/06/09	月	2便			5119	8500	0.39776470588235296	1P498	B=1kg																																																																																																																																																																																																													0	0					
	2025/06/10	火					8500		1P3粒分目安	1の倍数																																																																																																																																																																																																													0	0					
	2025/06/11	水					8500																																																																																																																																																																																																																0	0					
	2025/06/12	木					8500																																																																																																																																																																																																																0	0					
	2025/06/13	金					8500																																																																																																																																																																																																																0	0					
	2025/06/14	土					8500																																																																																																																																																																																																																0	0					
ニシショウ	2025/06/15	日					8500																																																																																																																																																																																																																0	0			0		0
	2025/06/09	月	1便			18400	29600	0.3783783783783784		C＝2Kg																																																																																																																																																																																																													0	0					
	2025/06/10	火					29600			1の倍数																																																																																																																																																																																																													0	0					
	2025/06/11	水					29600																																																																																																																																																																																																																0	0					
	2025/06/12	木					29600																																																																																																																																																																																																																0	0					
	2025/06/13	金					29600																																																																																																																																																																																																																0	0					
九州	2025/06/14	土					29600																																																																																																																																																																																																																0	0					
東洋冷蔵	2025/06/15	日					29600																																																																																																																																																																																																																0	0			0		0
	2025/06/09	月	1便			14100	24320	0.42023026315789475		C=2kg																																																																																																																																																																																																													0	0					
